# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "snRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_snRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT2G04375.1	2	849778	849972	+	195	6	29	14	16	21	51	26	21
transcript:AT2G04455.1	2	852860	853054	+	195	15	18	11	11	26	36	13	5
transcript:AT2G06455.1	2	6784794	6784869	+	76	0	0	0	0	0	0	0	0
transcript:AT2G07295.1	2	8809170	8809364	+	195	0	0	0	0	0	0	0	0
transcript:AT3G01695.1	3	1657767	1657928	+	162	8	11	17	20	16	22	8	6
transcript:AT3G01715.1	3	1681816	1681977	+	162	15	12	14	16	10	22	6	7
transcript:AT3G06900.1	3	2178191	2178343	-	153	0	2	5	0	3	6	1	2
transcript:AT3G13855.1	3	4561112	4561212	+	101	1	2	1	3	8	9	3	5
transcript:AT3G14735.1	3	4951597	4951697	+	101	1	2	2	1	0	12	0	1
transcript:AT3G04905.1	3	9227117	9227212	-	96	0	0	0	0	0	0	0	0
transcript:AT3G05115.1	3	9881237	9881303	+	67	0	0	0	0	0	0	0	0
transcript:AT3G07265.1	3	16792803	16792888	+	86	50	37	55	46	30	43	31	51
transcript:AT3G08575.1	3	20653844	20653947	+	104	0	0	0	0	0	0	0	0
transcript:AT3G08605.1	3	20736781	20736881	-	101	32	39	34	30	32	22	27	26
transcript:AT3G08615.1	3	20740504	20740607	-	104	0	0	0	0	0	2	0	0
transcript:AT3G56705.1	3	21004259	21004809	+	551	18	4	5	8	20	36	19	18
transcript:AT3G08695.1	3	21015473	21015667	+	195	9	14	9	9	22	11	18	17
transcript:AT3G56825.1	3	21041727	21042609	-	883	26	35	59	39	54	71	59	38
transcript:AT3G08735.1	3	21052801	21052994	-	194	0	0	0	0	0	0	0	0
transcript:AT3G57645.1	3	21346342	21347204	+	863	0	2	4	14	4	8	2	0
transcript:AT3G08945.1	3	21357719	21357913	+	195	24	16	23	28	22	8	11	19
transcript:AT3G57765.1	3	21397262	21398132	-	871	111	136	75	110	77	63	94	91
transcript:AT3G09005.1	3	21408401	21408595	-	195	5	7	4	8	2	3	22	1
transcript:AT4G03995.1	4	815274	815466	+	193	1	8	10	9	12	16	9	2
transcript:AT4G04185.1	4	1114529	1114629	-	101	0	0	0	0	0	2	2	2
transcript:AT4G04615.1	4	1483021	1483121	-	101	2	4	5	2	1	9	4	4
transcript:AT4G06375.1	4	9096375	9096532	+	158	4	5	6	4	15	16	6	6
transcript:AT4G06405.1	4	9370787	9370841	+	55	0	0	0	0	0	0	0	0
transcript:AT4G07120.1	4	12225622	12225786	+	165	8	6	14	13	8	3	13	16
transcript:AT4G07145.1	4	12298803	12298871	-	69	0	0	0	0	0	1	0	3
transcript:AT4G07875.1	4	13782216	13782316	+	101	7	1	3	0	6	3	4	1
transcript:AT4G08755.1	4	15965159	15965258	-	100	29	15	10	21	26	30	16	18
transcript:AT4G09135.1	4	16754837	16754931	+	95	5	0	2	0	7	32	6	8
transcript:AT5G09585.1	5	2975014	2975208	+	195	14	10	13	8	33	47	8	19
transcript:AT5G01845.1	5	3522144	3522167	-	24	0	0	0	0	0	0	0	0
transcript:AT5G02245.1	5	4690009	4690105	-	97	1	0	0	0	0	0	0	0
transcript:AT5G02255.1	5	4690371	4690412	-	42	0	0	0	0	0	2	1	1
transcript:AT5G04085.1	5	8972466	8972618	-	153	0	0	0	0	0	0	0	0
transcript:AT5G04105.1	5	8972808	8972971	-	164	8	10	6	24	10	3	8	4
transcript:AT5G04305.1	5	9494082	9494230	-	149	0	0	3	0	0	0	2	0
transcript:AT5G04315.1	5	9494431	9494594	-	164	0	0	7	0	0	2	1	0
transcript:AT5G04455.1	5	9832577	9832740	+	164	2	0	0	0	0	0	0	0
transcript:AT5G04465.1	5	9832935	9833083	+	149	0	0	2	0	0	0	0	0
transcript:AT5G40395.1	5	16166180	16166387	-	208	4	0	2	4	5	12	0	0
transcript:AT5G06055.1	5	16183414	16183534	-	121	12	11	15	10	12	7	11	3
transcript:AT5G46315.1	5	18787079	18787990	+	912	4	0	1	5	2	12	1	1
transcript:AT5G06815.1	5	18804617	18804717	+	101	0	0	0	0	0	0	0	0
transcript:AT5G07335.1	5	19902818	19902970	-	153	2	1	1	2	2	0	0	0
transcript:AT5G07345.1	5	19903159	19903323	-	165	2	1	2	3	0	0	1	1
transcript:AT5G07405.1	5	20112031	20112072	-	42	6	8	8	7	16	19	14	10
transcript:AT5G07415.1	5	20112276	20112431	-	156	45	37	23	29	83	81	30	54
transcript:AT5G07775.1	5	21013987	21014149	+	163	0	0	0	0	0	0	0	0
transcript:AT5G08025.1	5	21829944	21829988	-	45	0	4	6	2	6	3	5	4
transcript:AT5G08115.1	5	21957024	21957066	-	43	0	0	0	0	0	0	0	0
transcript:AT5G08810.1	5	23448523	23448717	-	195	9	11	6	11	14	6	6	5
transcript:AT5G61455.1	5	24713264	24714094	-	831	7	9	14	12	24	36	11	2
transcript:AT5G09010.1	5	24730635	24730829	-	195	0	0	0	0	0	0	0	0
transcript:AT5G09080.1	5	25083791	25083985	+	195	0	0	0	0	0	0	0	0
transcript:AT5G09140.1	5	25296826	25296926	+	101	1	3	7	3	0	1	7	6
transcript:AT5G09945.1	5	26966885	26967079	+	195	0	0	0	0	0	0	0	0
