Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
transcript:AT3G27884.1	0	0	0	0
transcript:AT3G41761.1	64	78	62	90
transcript:AT3G44765.1	0	3	5	0
transcript:AT3G44798.1	179	194	147	166
transcript:AT3G45638.1	4	4	0	0
transcript:AT3G45638.2	0	0	0	0
transcript:AT3G46614.1	2	12	4	2
transcript:AT3G07485.1	0	0	1	1
transcript:AT3G07635.1	4	4	0	2
transcript:AT3G48115.2	0	0	0	0
transcript:AT3G48115.1	42	92	62	81
transcript:AT3G08085.1	2	9	0	2
transcript:AT3G08170.1	19	36	52	38
transcript:AT3G08170.2	248	275	532	410
transcript:AT3G52742.1	0	0	0	0
transcript:AT3G52748.1	6	10	19	30
transcript:AT3G53365.1	8	22	11	18
transcript:AT3G54366.1	367	402	353	374
transcript:AT3G08410.1	0	1	0	0
transcript:AT3G55485.1	4	9	5	10
transcript:AT3G08705.1	34	42	34	36
transcript:AT3G08785.1	1866	2068	1023	1365
transcript:AT3G57157.1	14	21	232	158
transcript:AT3G08895.1	126	168	132	154
transcript:AT3G08975.1	40	36	41	47
transcript:AT3G59765.3	0	3	0	7
transcript:AT3G59765.2	0	0	0	0
transcript:AT3G59765.1	0	0	0	0
transcript:AT3G60176.1	0	0	1	0
transcript:AT3G60238.1	0	0	0	0
transcript:AT3G60972.1	6	9	7	6
transcript:AT3G61118.1	0	6	18	2
transcript:AT3G61198.1	18	23	142	107
transcript:AT4G03605.1	0	0	0	0
transcript:AT4G03675.1	27	22	23	24
transcript:AT4G03685.1	4	3	0	5
transcript:AT4G00975.1	32	25	34	28
transcript:AT4G00975.2	0	0	0	0
transcript:AT4G00975.3	0	0	0	0
transcript:AT4G01533.1	12	9	8	2
transcript:AT4G03955.1	30	46	12	9
transcript:AT4G02005.6	0	0	0	0
transcript:AT4G02005.5	0	0	0	0
transcript:AT4G02005.3	0	0	0	0
transcript:AT4G02005.1	0	0	0	0
transcript:AT4G02005.4	0	0	0	0
transcript:AT4G02005.2	0	0	0	0
transcript:AT4G04325.1	10	11	13	13
transcript:AT4G03038.1	0	0	2	0
transcript:AT4G03811.1	0	0	0	2
transcript:AT4G03935.1	0	0	0	0
transcript:AT4G03935.3	0	0	0	0
transcript:AT4G03935.2	0	0	0	0
transcript:AT4G04223.1	0	0	0	5
transcript:AT4G04223.2	0	0	0	0
transcript:AT4G04315.1	0	0	0	0
transcript:AT4G06701.5	0	0	0	0
transcript:AT4G06701.3	0	0	0	0
transcript:AT4G06701.2	0	0	0	0
transcript:AT4G06701.4	0	0	0	0
transcript:AT4G06701.1	0	0	0	0
transcript:AT4G08035.1	3	2	8	6
transcript:AT4G08035.2	0	0	0	0
transcript:AT4G05365.1	0	0	0	0
transcript:AT4G05690.1	192	224	166	194
transcript:AT4G10507.1	0	2	2	0
transcript:AT4G05905.1	0	0	2	0
transcript:AT4G05940.1	12	13	0	0
transcript:AT4G12917.1	181	236	133	153
transcript:AT4G13495.2	68	79	52	62
transcript:AT4G13495.1	0	0	0	0
transcript:AT4G14548.1	9	39	23	27
transcript:AT4G15242.1	0	0	0	0
transcript:AT4G16355.1	1	2	0	0
transcript:AT4G16748.1	0	0	0	0
transcript:AT4G16892.1	7	42	10	9
transcript:AT4G06785.1	21	36	37	48
transcript:AT4G23205.1	5	4	3	4
transcript:AT4G26255.1	13	19	47	59
transcript:AT4G07975.1	93	133	91	76
transcript:AT4G07975.2	299	445	273	270
transcript:AT4G08055.1	102	74	142	93
transcript:AT4G30872.1	0	0	0	0
transcript:AT4G30975.3	0	0	0	0
transcript:AT4G30975.1	0	0	0	0
transcript:AT4G30975.2	0	0	0	0
transcript:AT4G31408.1	0	0	0	0
transcript:AT4G31408.3	0	0	0	0
transcript:AT4G31408.2	0	0	0	0
transcript:AT4G09195.1	0	0	0	0
transcript:AT4G36648.1	1453	1970	3444	2703
transcript:AT4G09365.1	8	7	10	11
transcript:AT4G09405.1	0	3	0	3
transcript:AT4G09535.1	15	17	24	21
transcript:AT4G39404.1	0	1	2	8
transcript:AT4G40065.1	123	167	125	215
transcript:AT5G00885.1	0	0	0	0
transcript:AT5G03285.1	63	68	72	78
transcript:AT5G00925.1	37	38	63	46
transcript:AT5G06165.1	10	12	31	38
transcript:AT5G01265.1	14	25	18	20
transcript:AT5G07322.1	106	124	65	56
transcript:AT5G10278.2	2	0	0	0
transcript:AT5G10278.1	7	4	8	3
transcript:AT5G02115.1	41	43	63	76
transcript:AT5G02135.1	0	0	0	0
transcript:AT5G02445.1	2	3	4	2
transcript:AT5G02535.1	1	6	6	3
transcript:AT5G02825.1	0	2	0	0
transcript:AT5G02975.1	0	0	0	0
transcript:AT5G03315.1	10	21	3	6
transcript:AT5G22788.1	13	10	5	12
transcript:AT5G23155.2	0	0	0	0
transcript:AT5G23155.1	2	0	0	0
transcript:AT5G23410.1	127	152	180	159
transcript:AT5G24205.1	19	2	114	93
transcript:AT5G24206.1	1	3	32	26
transcript:AT5G24735.1	697	831	500	524
transcript:AT5G03965.1	202	238	264	267
transcript:AT5G04175.1	28	49	227	161
transcript:AT5G28262.1	7	18	14	25
transcript:AT5G28824.1	0	0	0	2
transcript:AT5G33399.1	0	2	0	4
transcript:AT5G33439.1	0	0	0	0
transcript:AT5G34871.1	1	4	8	2
transcript:AT5G05295.1	0	2	2	0
transcript:AT5G37485.1	6	6	0	1
transcript:AT5G38005.1	11	43	13	12
transcript:AT5G05785.1	0	1	3	0
transcript:AT5G05865.1	0	0	52	32
transcript:AT5G40275.1	0	0	0	2
transcript:AT5G40316.1	0	0	0	2
transcript:AT5G06095.1	0	0	0	0
transcript:AT5G43403.1	81	76	139	126
transcript:AT5G43725.1	0	0	0	0
transcript:AT5G43725.2	105	142	120	141
transcript:AT5G44569.1	21	12	49	43
transcript:AT5G45475.1	309	350	422	447
transcript:AT5G06955.1	0	0	6	1
transcript:AT5G48412.1	756	845	671	537
transcript:AT5G49615.1	2	0	0	0
transcript:AT5G50190.1	0	0	0	2
transcript:AT5G08125.1	0	0	0	0
transcript:AT5G08575.1	0	0	0	0
transcript:AT5G08615.1	38	39	74	87
transcript:AT5G57735.1	0	0	4	0
transcript:AT5G08875.1	15	21	27	27
transcript:AT5G09865.1	19	15	19	12
